,region,tour_region_proportion,0.025,0.975
0,east,0.09968048780487804,0.08093126385809313,0.1197339246119734
1,international,0.08003725055432373,0.06319290465631928,0.09866962305986696
2,midwest,0.16202350332594234,0.1385809312638581,0.18625277161862527
3,south,0.24149146341463412,0.2139689578713969,0.26940133037694014
4,west,0.41676729490022174,0.38470066518847007,0.4490022172949002
